"filename", "language", "Lua", "comment", "blank", "total"
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/examples/examples_end.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/examples/examples_example.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/examples/examples_start.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/external_docs/external_docs.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/generic_example/example.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/generic_request_body/request_body.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/headers/header/header_end.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/headers/header/header_start.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/headers/headers_end.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/headers/headers_start.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/link/link_end.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/link/link_start.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/media_type/encoding/encoding_end.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/media_type/encoding/encoding_start.lua", "Lua", 4, 6, 2, 12
"/home/i3draven/fun/Rust/openapi-translator/resources/scripts/java/visitors/common/media_type/media_type_encodings_end.lua", "Lua", 4, 6, 2, 12
